    REF_GAIN    0.521074     1.23093    0.246226           2
          G1     501.524     1.63037     5238.88     131.243           0
          G2     649.725      1.5681     4639.03     131.796           0
          G3     452.905     1.74757     6779.02     166.119           0
          G4     513.553     1.44461     5438.21     136.814           0
          G5     304.577     1.22515     5380.51     163.724           0
          G6     421.352     1.39138     5091.25     140.912           0
          G7     539.801     1.53828     4183.35     119.568           0
          G8     547.868     1.51616     7237.62     159.913           0
          G9     644.887       1.307     5453.96     116.773           0
         G10     598.143     1.55577     5994.97     122.968           0
         G11     451.372     1.64073     6123.78     138.624           0
         G12     512.792     1.63056     4741.74     122.838           0
         G13     610.727     1.76463     3630.71     112.166           0
         G14       438.9     1.74757     3337.47     90.7076           0
         G15     530.977     1.56054     6056.14     117.996           0
         G16     384.708     1.44355     8463.88     214.142           0
         G17     315.982     1.70699     6643.38     195.146           0
         G18     383.976     1.39906     5629.73      199.62           0
         G19     562.793     1.56529     4920.19     136.183           0
         G20     447.242     1.54724     4631.22     135.102           0
         G21     473.717      1.4756     5280.29     116.681           0
         G22     540.631     1.55216     6687.99     148.318           0
         G23     394.362     1.66352     1175.57     55.3106           0
         G24      525.24     1.42497     5536.14     136.412           0
         G25     374.199     2.91941     5571.36     141.224           0
         G26     396.756     3.10387     6617.03     146.123           0
         G27     417.433     3.61866     3576.07     127.238           0
         G28     518.794     2.87038     2949.11     113.337           0
         G29     336.165     2.34143     6467.17     211.574           0
         G30     436.206     2.74202     5971.04     141.473           0
         G31     383.171     1.37158     3611.37     138.797           0
         G32     358.311       1.441     5187.05     118.747           0
         G33     466.421     1.46577     3500.58     82.0535           0
         G34     509.967     1.54701     1420.48     67.6125           0
         G35     519.188     1.68469     5306.94     107.646           0
         G36     516.522     1.29765     3639.56     98.6756           0
         G37     495.294      1.4113     4349.84     119.293           0
         G38     355.316     1.33463      4113.5     126.478           0
         G39     474.277     1.22253     4767.52     134.359           0
         G40     470.454     1.49001     6573.17     209.376           0
         G41     291.699     1.34025     5662.25      151.97           0
         G42     382.228     1.55894      4527.2     137.384           0
         G43     384.701     1.62046     4791.27     117.308           0
         G44     260.746     1.15882     1848.94     88.9795           0
         G45      324.48      1.3686        3670     108.574           0
         G46     325.559      1.4547      4842.8     116.454           0
         G47     239.109     1.06865     4509.84     128.973           0
         G48     212.057     1.19237     7611.06     242.188           0
         G49     432.048     1.40152     3766.89     100.363           0
         G50     347.952     1.28017      6121.1     135.722           0
         G51     378.803      1.4058     4428.43     120.051           0
         G52     542.377     1.54572     3657.16     105.153           0
         G53     328.474     1.25811     4840.01     141.537           0
         G54     378.649     1.37698      2750.8     77.0588           0
         G55     235.778     3.06147     2996.78     103.614           0
         G56     393.557     2.92786     4656.43     144.282           0
         G57     590.914     2.66795     1366.35     59.3136           0
         G58     580.123     3.14621     2773.39     105.546           0
         G59     600.538      3.1707     5727.19     147.304           0
         G60     509.245     2.58165     5152.87      161.15           0
         G61       376.3     1.28156     4336.84     131.167           0
         G62     298.003     1.30007     6650.59     190.724           0
         G63     434.757      1.3928     4961.83       127.7           0
         G64     495.261     1.13546     6133.35     151.094           0
         G65     370.566      1.8027     6550.71     173.275           0
         G66     462.739     1.56948     6544.67     140.439           0
         G67     397.472     1.15338     4492.02     110.073           0
         G68     374.183     1.24231     4147.09     94.7633           0
         G69     526.224     1.20579     7279.94     161.928           0
         G70     461.685     1.25514     6204.78     124.827           0
         G71     363.901     1.44151     4383.25     112.921           0
         G72     445.957     1.22849     4374.69     108.932           0
         G73      313.79     1.18156        5751     147.322           0
         G74     300.438     1.32139     6120.94     223.378           0
         G75     390.513     1.34064     4496.19     115.394           0
         G76     266.337     1.98195     6103.31     188.363           0
         G77     258.935      1.2201      7539.9     263.813           0
         G78     370.613     1.47793     4478.03     140.961           0
         G79     373.303     1.28633      4096.4     121.002           0
         G80     524.777     1.06681     4074.78     114.818           0
         G81     601.693     1.31167     3701.57      80.868           0
         G82     500.914     1.26244     7542.89     155.903           0
         G83     340.878     1.40602     5155.66     154.895           0
         G84     560.376     1.19023     7025.49     153.296           0
         G85      379.08      2.7419     4624.95     120.682           0
         G86      367.35     3.31602     3905.85     141.815           0
         G87     501.957     2.96171     3623.82     115.682           0
         G88     478.981     2.21088     4764.98     147.376           0
         G89     626.122      2.7024     5210.98     199.077           0
         G90     544.112     2.44759      3947.7     110.991           0
         G91     419.071     1.61376     5391.47     124.683           0
         G92      544.27     1.52545     4810.53     141.578           0
         G93     328.738     1.76126     3727.68     120.671           0
         G94     383.355     1.48686     3488.77     107.811           0
         G95     404.061     1.60619     4889.55     119.454           0
         G96     499.849     1.40136     4458.76     93.8121           0
         G97     533.592     1.21091     6000.14     161.747           0
