    REF_GAIN     0.52079     1.23166    0.247172           2
          G1     501.184     1.65424     5334.96     135.699           0
          G2      649.54      1.5491     4787.98     138.349           0
          G3     452.693      1.7735     6987.55     173.252           0
          G4     513.447     1.46398     5590.98     141.521           0
          G5       304.4     1.21316      5543.5     171.548           0
          G6     421.243     1.36722     5149.72     144.962           0
          G7     539.524     1.51247     4247.07     124.925           0
          G8     547.551     1.50215     7467.94      163.52           0
          G9     644.731     1.30496     5662.89     119.119           0
         G10     597.865     1.54896      6180.6     127.867           0
         G11     451.105     1.65888     6379.51      140.64           0
         G12     512.651     1.61272     4756.14     127.899           0
         G13     610.447       1.706     3743.06     119.078           0
         G14     438.656     1.73293     3415.02     92.9404           0
         G15     530.712     1.56762     6371.09     123.251           0
         G16     384.604     1.45852     8811.76     192.847           8
         G17     315.829     1.72593     6799.05     202.678           0
         G18     383.891     1.41968     5697.79     206.742           0
         G19     562.402     1.77034     5094.59     141.321           0
         G20     447.012     1.79499     4649.08     140.101           0
         G21     473.475     1.66565     5540.72     120.344           0
         G22     540.308     1.57548     6979.89     154.429           0
         G23     394.148     1.61483     1182.28     56.4921           0
         G24     525.099     1.41988     5752.36     144.317           0
         G25     373.861     2.92349     5796.07     146.995           0
         G26     396.437     3.06956     6806.48     151.861           0
         G27      417.27      3.5877     3673.95     130.607           0
         G28     518.549     2.90022     3013.36     116.276           0
         G29     335.889     2.35742     6696.65     212.227           0
         G30     436.092     2.77533      6163.6     147.925           0
         G31     383.049     1.39166     3668.85     145.245           0
         G32     358.257     1.44706     5308.22     122.269           0
         G33     465.571     1.48228     3664.48     88.5581           0
         G34      509.39     1.53548     1432.61     68.8058           0
         G35     518.877     1.71862     5468.36     112.668           0
         G36     516.297     1.26246     3791.13     102.746           0
         G37     495.395     1.40319     4443.65     118.075           0
         G38     355.303     1.31909     4258.41     130.433           0
         G39     474.116     1.24224     4921.92     139.771           0
         G40     470.209      1.4743     6726.61      215.82           0
         G41     291.538     1.37813     6165.81     167.103           0
         G42     382.137     1.53667     4676.66      141.36           0
         G43     384.496     1.61805      4906.6     122.518           0
         G44     260.577       1.132     1878.79      94.434           0
         G45     324.172     1.36632     3712.22     114.945           0
         G46     325.435     1.52088     4921.07     119.235           0
         G47     239.109     1.08208     4645.96     134.358           0
         G48     212.041     1.20983     7869.54     256.512           0
         G49     431.933     1.55607     3862.19     105.055           0
         G50     347.812     1.44042     6265.22     140.527           0
         G51     378.605     1.63617     4547.23     124.837           0
         G52     542.206     1.53797     3744.87     106.325           0
         G53     328.347     1.27214     5018.49     151.695           0
         G54     378.643     1.34179     2746.56     79.0902           0
         G55     235.787     3.00351     3088.22     106.754           0
         G56     393.589     2.95748      4682.3     146.787           0
         G57     590.487     2.69676     1399.45     62.4637           0
         G58     579.817     3.19687      2873.3     110.926           0
         G59     600.322     3.14445     5899.22     149.992           0
         G60     509.152     2.59328     5315.46     168.944           0
         G61     376.216      1.2846     4416.63     133.321           0
         G62     297.874     1.29136     6615.02     191.995           0
         G63     434.477     1.39006     5108.41     132.845           0
         G64     495.119     1.12931     6312.26     157.285           0
         G65     370.462      1.7908      6782.1     179.158           0
         G66     462.415     1.55446     6776.49     144.103           0
         G67     397.436     1.13934     4601.37     116.155           0
         G68     374.087      1.2432     4354.02     97.7697           0
         G69     525.949     1.20666     7564.39     172.527           0
         G70     461.563     1.25423     6429.29     126.833           0
         G71     363.934     1.42764     4501.51     116.326           0
         G72      445.49     1.26136     4471.58     115.077           0
         G73     313.653     1.21452     5917.58     155.615           0
         G74      300.33     1.30597     6588.58     236.797           0
         G75     390.142     1.37626     4559.99     120.096           0
         G76     265.838     1.84599     6429.47     197.324           0
         G77     258.962     1.24907     7744.22     275.618           0
         G78     370.449     1.46347     4676.53     147.488           0
         G79     373.351     1.52508      4189.5     124.249           0
         G80     524.665     1.23129     4184.12     121.181           0
         G81     601.019     1.40985     3775.34     83.3375           0
         G82     500.934     1.25435     7720.67     163.213           0
         G83     340.898     1.35324     5350.66     159.534           0
         G84     560.107     1.17896     7209.15     158.868           0
         G85     378.841     2.76948     4796.66     126.254           0
         G86     367.192     3.32297     4106.32     149.807           0
         G87     501.803     2.96608     3703.84     119.748           0
         G88     478.989     2.24429     4880.47     148.218           0
         G89     625.741     2.76603     5356.42     209.198           0
         G90     543.907     2.45321     4001.55     112.489           0
         G91     418.685     1.60346     5496.98     128.739           0
         G92     543.953     1.53616     4943.83     149.143           0
         G93     328.559     1.77286     3828.85     127.498           0
         G94     383.167     1.46537      3590.3     112.456           0
         G95     404.088     1.56468     5097.15     123.874           0
         G96     499.557     1.40353     4588.74      96.058           0
         G97     533.133     1.19997     6095.48     165.689           0
         G98      437.03     1.11197     6142.92     167.615           0
         G99     646.263     1.19457     5972.03     183.601           0
        G100      492.15     1.68313     4322.59     127.368           0
        G101     643.189     1.80483     6894.88     131.306           0
        G102     442.215     1.30582     5723.53     122.874           0
        G103     482.528      1.6758     6238.27     166.817           0
        G104     376.662     1.27362     3970.62      131.54           0
        G105       530.9     1.49527     6109.31     144.675           0
        G106     434.381     1.55531     4896.27     143.939           0
        G107     365.562     1.16428           0           0           2
        G108     390.805     1.30847     3876.56     118.727           0
        G109       515.1     1.70968     6440.79     166.979           0
        G110     598.665     1.52786     6386.42     180.254           0
        G111     387.682     1.28694     3878.09     124.339           0
        G112     569.729     1.49337     3514.89     92.5876           0
        G113     525.286     1.19805     4898.41     139.092           0
        G114     509.656     1.28385     5797.45     150.872           0
        G115     529.475     2.30196     4166.53     126.196           0
        G116     513.651     2.80207     4224.68     116.184           0
        G117     368.869     3.36844     4217.18     100.971           0
        G118     448.826     2.74569     3274.93     90.0768           0
        G119     510.077      2.8387     2926.15     93.4767           0
        G120     364.809     2.27043     4560.94     107.908           0
        G121     520.279     1.74371     4572.14     98.1472           0
        G122     365.444     1.68927     2736.42     80.6252           0
        G123     453.626     1.78459     4196.91     99.9162           0
        G124     439.016     1.62681     3249.28     88.1073           0
        G125     289.727     1.55103     3062.03     83.5113           0
        G126     416.548     1.32878        5437     147.247           0
        G127     413.644     1.20919     4240.67     92.6244           0
        G128     318.934     1.17049     4028.82     101.982           0
        G129     464.612     1.00487     3166.07     76.9041           0
        G130     258.504     1.28585     4161.62     99.1786           0
        G131      399.21     1.56139     5525.52     109.321           0
        G132     446.987     1.20677     5234.07     130.304           0
        G133     473.804     1.23074      3540.7     97.7884           0
        G134     273.049     1.32275     2907.54     94.0203           0
        G135     496.196     1.06602     3688.44     93.4128           0
        G136     265.004        1.18     4678.62     117.275           0
        G137     255.495     1.32682     3999.53     108.408           0
        G138     314.419     1.13813     6003.13     142.461           0
        G139     326.633     1.39564     3242.87        96.9           0
        G140     365.982     1.55374     3934.25     94.0893           0
        G141     375.277     1.13974     4679.32     136.371           0
        G142     296.264     1.15979     5284.97     144.072           0
        G143       280.8     1.54795     5083.06     127.829           0
        G144     475.426     1.07968     3580.93     94.4807           0
        G145     465.362     3.26059     4513.96     125.855           0
        G146     617.521     2.94656     7208.81     214.657           0
        G147     591.436     3.48223     4293.64      136.67           0
        G148     364.411     3.08406     4167.36     129.102           0
        G149     441.621     3.00015     5987.73     147.979           0
        G150     324.427     2.42828      4864.2     126.361           0
        G151     399.587     1.58667     5627.07     153.195           0
        G152     489.835     1.39726      2968.4     85.7416           0
        G153     438.644      1.8688     3372.77      113.99           0
        G154     323.973     1.87131     6207.39     157.805           0
        G155     277.872      1.9032     5133.63     140.414           0
        G156     544.589     1.71506     3273.99     88.7766           0
        G157     411.184     1.11279     5922.36     142.344           0
        G158     505.344     1.25584     5727.06     138.328           0
        G159     447.707      1.4418      4143.5     105.022           0
        G160     698.838     1.34879      4549.7     116.739           0
        G161     458.909     2.45975     4841.89     129.722           0
        G162     433.116     2.05577     3176.87     107.318           0
        G163     387.883     1.21219     4215.32     106.051           0
        G164     409.461     1.85502     3649.89      100.74           0
        G165     455.625     1.77368     4158.59     122.589           0
        G166     271.916     1.21129     4363.88     113.855           0
        G167     337.071     1.56377     5199.47     136.836           0
        G168     361.818     1.61054     5044.28     121.996           0
