    REF_GAIN           0     1.08786    0.228362           3
          G1     622.745     1.79651      3029.7     74.5901           0
          G2     663.666     1.62993     2943.05     81.7655           0
          G3     679.176     1.73827     4377.57     105.014           0
          G4     590.967     1.48899     3255.26     82.7062           0
          G5     538.161     1.31636     3351.82     98.6283           0
          G6     509.789     1.48111     2899.58     82.1183           0
          G7     536.954     1.63915     2333.93     67.1122           0
          G8     543.928     1.55988     4305.17     96.1287           0
          G9       644.3     1.46989     3050.11     66.7607           0
         G10     599.191       1.584        3387     73.3481           0
         G11      452.28     1.67537     3485.73     81.7364           0
         G12     511.865     1.73826      2504.2      67.807           0
         G13      608.19     1.79054     2084.53     59.9187           0
         G14       435.5     1.68503      1971.6     52.5978           0
         G15     529.054     1.62126      3452.7     70.0227           0
         G16     378.689     1.53463     2809.52     70.6684           0
         G17      310.81      1.8185     3709.07     115.545           0
         G18     381.362     1.48992     3115.52     115.206           0
         G19     562.003     1.82485     3062.08     85.6529           0
         G20     443.892     1.74308     2603.63     77.5632           0
         G21      471.36     1.71015     2986.89     65.6438           0
         G22     531.717     1.75996     4135.81     87.3604           0
         G23     392.144      1.7024     793.234     28.8138           0
         G24     523.147     1.50884     3143.75     79.2714           0
         G25     371.644     3.21737     3092.25     82.4409           0
         G26     390.741     3.44206     3859.82     89.3258           0
         G27     414.035     3.85448     2081.76      76.568           0
         G28     518.076     3.07393     1831.76     68.6207           0
         G29      330.39     2.54714     3632.59     126.863           0
         G30     431.534     3.02234     3345.22     83.7105           0
         G31     539.639     1.44174     2186.01     77.4811           0
         G32     557.576     1.47874     3077.41     69.0382           0
         G33     730.346     1.48572     2295.13       47.79           0
         G34     644.954     1.56146     1095.27     33.8709           0
         G35     705.488     1.69212     3159.55     62.8247           0
         G36     624.613     1.27271     2246.65     57.6447           0
         G37     491.226     1.46966     2562.94      69.308           0
         G38     347.587     1.38326     2479.05     76.4792           0
         G39      469.28     1.33523     2929.84     81.7635           0
         G40     462.253     1.49411      3790.5      125.62           0
         G41     291.814     1.36464     3458.41     95.0155           0
         G42     378.239     1.62399     2635.31      81.783           0
         G43     382.251     1.69627     2839.64     73.5098           0
         G44     256.315     1.21202     1111.51     55.3798           0
         G45     324.286     1.53153     2065.58     65.3432           0
         G46     320.577     1.52303     2692.46     68.3986           0
         G47     236.249     1.09071     2423.38     72.6096           0
         G48     208.259      1.2511     4389.38       149.8           0
         G49     430.374     1.64492     2109.94     57.0782           0
         G50     343.855     1.48587     3535.74     83.9087           0
         G51     380.182     1.55991     2620.19      73.236           0
         G52     538.998     1.66008     2245.95     64.9336           0
         G53     326.266     1.30231     2863.75     82.9264           0
         G54      377.44     1.38757     1566.27     42.4759           0
         G55      231.83     3.30823     1671.43      57.521           0
         G56     391.877      3.2338     2590.52     82.2652           0
         G57     602.569     2.94589      987.64     29.2643           0
         G58     580.587     3.49909     1798.44      64.106           0
         G59     601.314     3.27478     3280.63     83.6375           0
         G60     507.716     2.81003     3044.75     96.6553           0
         G61     492.125     1.27494     2543.45     73.8148           0
         G62     482.195     1.31263     4058.42     110.931           0
         G63     527.618     1.46429     2832.07     74.2565           0
         G64     576.263     1.09828     3582.47     88.7548           0
         G65     681.386     1.84859     4044.23     102.236           0
         G66     589.836     1.64416     4020.46     83.8133           0
         G67     394.999     1.18775     2482.46     63.3755           0
         G68     370.155     1.24564      2324.7     54.7717           0
         G69     525.531     1.30705     4171.45     97.4804           0
         G70      459.33     1.30725     3556.11     71.5549           0
