    REF_GAIN           0      1.0986    0.229437           3
          G1     622.668     1.76873      3109.7     76.7548           0
          G2     663.721     1.64793     3107.95     90.8717           0
          G3     679.367     1.80823     4557.15     118.148           0
          G4     591.355     1.52665     3377.79     90.2252           0
          G5     538.381      1.3386     3488.43      111.41           0
          G6     510.438     1.49303     2936.63     86.8257           0
          G7     536.911      1.6174     2351.47     68.4007           0
          G8     543.992     1.53654     4623.82     108.195           0
          G9     643.646     1.51585     3135.29     68.4842           0
         G10     599.155     1.58801        3472     76.7275           0
         G11     452.291     1.63897     3679.37      90.451           0
         G12     512.293     1.76414     2492.11     70.6489           0
         G13     607.983     1.76759     2116.91     60.9393           0
         G14     435.347     1.66065     1988.98     53.1866           0
         G15     528.689     1.58849     3704.48     76.6724           0
         G16     378.888     1.57057     2969.05      77.896           0
         G17     310.783     1.86645     3855.43     122.554           0
         G18     381.193     1.48602     3189.56     124.136           0
         G19     562.833     1.92782     3201.45     91.5928           0
         G20     444.192     1.83364     2605.66     78.5505           0
         G21      471.26     1.81696     3149.84     72.9229           0
         G22     532.347     1.73647     4497.12     104.525           0
         G23     392.957     1.68284     798.671     28.8932           0
         G24      522.94     1.50971      3292.6     83.3801           0
         G25     371.465     3.22155     3222.21     88.4288           0
         G26     390.421      3.4329     4038.29     94.2692           0
         G27     413.127     3.86537     2134.62     80.1807           0
         G28     517.316     3.11667     1868.77     73.9826           0
         G29     330.839     2.55833     3835.77     136.125           0
         G30     431.535     3.06504     3471.39     88.2084           0
         G31      539.56     1.48293     2209.92     77.1291           0
         G32     557.449     1.50226     3207.82     73.7252           0
         G33     731.082     1.47433     2354.39      49.924           0
         G34     645.155     1.59379     1098.44     34.0768           0
         G35     705.532      1.7211     3246.85     66.9308           0
         G36     624.785     1.31503     2332.12     60.0242           0
         G37     491.149     1.48853     2601.06      71.672           0
         G38     347.431     1.40341      2550.8      82.256           0
         G39     469.289     1.36486     3051.69     90.9732           0
         G40     462.434     1.55512     3920.86     136.217           0
         G41     291.776     1.37257     3622.29     103.621           0
         G42     378.545     1.59148     2700.27     88.2625           0
         G43     381.795     1.69851     2929.52      77.167           0
         G44      256.08     1.19551     1117.83     56.0002           0
         G45     324.006     1.46795     2103.59     65.3379           0
         G46     320.487     1.59004     2750.76     71.3194           0
         G47     236.116     1.13573     2499.63     77.8869           0
         G48     208.304     1.23122     4579.85     161.247           0
         G49     430.219     1.72776     2149.52     59.9622           0
         G50     344.844     1.55643     3621.96     86.8162           0
         G51     380.114     1.68154     2711.03     77.0856           0
         G52     539.172     1.64981     2263.81      66.912           0
         G53     326.804      1.2804     3020.12     93.9747           0
         G54     378.223     1.42165     1579.91     43.2003           0
         G55      231.22     3.33338     1683.42     58.6169           0
         G56     390.206     3.27063     2605.49     83.7599           0
         G57     604.035     2.96103     998.709      29.168           0
         G58     580.617     3.54983     1854.91     70.2651           0
         G59     601.251     3.34089     3410.25     89.8941           0
         G60      507.06     2.84685     3136.08     105.054           0
         G61      492.86     1.32371     2588.35     78.3909           0
         G62     482.886      1.3208      4326.3     122.808           0
         G63     527.888     1.45729      2914.6     74.2828           0
         G64       576.5     1.11511     3780.01     95.8172           0
         G65     682.316     1.94045     4279.62     111.445           0
         G66     590.121      1.6729     4267.61     93.0427           0
         G67     394.716     1.18428     2563.41     68.2848           0
         G68     369.932     1.22884     2426.77     58.7354           0
         G69     525.666     1.34958      4369.5     106.675           0
         G70     459.396     1.29834     3749.72     78.2034           0
         G71     364.223     1.45477     2548.29     71.2873           0
         G72     455.972      1.2647     2567.34     67.4612           0
         G73     310.623     1.27489     3316.92     95.6528           0
         G74      295.26     1.36711     3612.16     142.633           0
         G75     388.988     1.26674     2587.77     68.6731           0
         G76      261.31     1.19192     4309.85     132.733           0
         G77     253.619      1.2988     5694.01     206.208           0
         G78     369.247     1.42655     2669.83     89.5165           0
         G79     372.122     1.56458     2370.66     71.7143           0
         G80     524.543      1.2677     2416.91     65.5845           0
         G81     614.361     1.56004     2312.03     53.0955           0
         G82     500.646     1.31961     4482.34     102.901           0
         G83      335.93     1.41159     3002.23     96.4863           0
         G84     562.066     1.31626     4160.21       95.61           0
         G85      371.33     2.97222     2749.47     72.3564           0
         G86      360.66     3.57434     2381.41     92.8007           0
         G87     498.682     3.24196        2168     66.6376           0
         G88     475.191     2.42556     2852.75     87.8246           0
         G89     627.643     2.96026     3259.81     130.962           0
         G90     545.421     2.71518     2415.11     67.5869           0
         G91     645.308     1.81374     3409.99      81.486           0
         G92     642.903     1.71317      2995.7     90.3519           0
         G93     569.216     1.84647     2321.97     68.1863           0
         G94     604.852     1.55417      2302.2     63.9301           0
         G95     603.888     1.64442     3351.81     81.2239           0
         G96     645.985     1.57044     2784.06     59.8329           0
         G97     545.042     1.24848     3554.77     102.826           0
         G98     432.106     1.18261     3696.92     106.962           0
         G99     646.947     1.30261     3787.35     116.769           0
        G100      495.89     1.65453     2528.34     73.7601           0
        G101     650.288     1.89617      4005.8     80.8883           0
        G102     441.732     1.26245     3187.17     74.8127           0
        G103     499.414      1.5819     3582.22     99.2453           0
        G104     377.163     1.33793     2197.45     72.6198           0
        G105     534.165     1.46947     3511.47     89.4909           0
        G106     446.768     1.54897     2689.37     79.4024           0
        G107     365.474     1.17436     2379.25     65.7502           0
        G108     393.714     1.34114     2228.89     67.0248           0
        G109     518.947     1.81703     3861.99     105.354           0
        G110      600.67     1.62508     4014.62     114.454           0
        G111     390.504      1.3479     2297.41     78.1069           0
        G112     584.259     1.55446     2017.31     50.3325           0
        G113     524.558     1.22058     2759.46     76.9177           0
        G114     511.939     1.41508     3277.22     88.0749           0
        G115     530.928     2.65716      2435.4     67.2863           0
        G116     519.294     3.25674     2383.52     66.1742           0
        G117     368.902     3.58899     2411.41     59.7858           0
        G118     451.356     3.06242     1893.66     49.6932           0
        G119     513.467      3.0563     1749.34     50.5835           0
        G120     368.418     2.48941     2500.52     61.9282           0
        G121     627.085     2.07783     2842.16     60.6614           0
        G122      672.96     1.87833     1899.37     42.6432           0
        G123     640.409     1.85791     2623.58     59.3242           0
        G124     664.804     1.75242     2144.15     49.6813           0
        G125     540.288     1.74717     1935.23     47.7046           0
        G126     585.088     1.43163     3192.76     88.5397           0
        G127     413.493     1.25142     2332.11     51.5444           0
        G128      309.31     1.26165     2290.82      60.387           0
        G129     463.218     1.14151     1784.24     40.9693           0
        G130     245.171     1.36949     2329.87     62.8691           0
        G131     396.985     1.64948     2954.62     61.7756           0
        G132     444.599      1.2765     2990.64     79.7048           0
        G133      469.51     1.26541     2037.49     52.9168           0
        G134     266.892     1.44461     1689.35     56.2185           0
        G135     495.549     1.10317     2286.17     58.9757           0
        G136     257.309      1.1938     2585.58     69.4443           0
        G137     247.234      1.4081     2184.51     62.4838           0
        G138     314.578     1.15107      3547.7     87.9329           0
        G139     318.864      1.4705     1995.15      63.453           0
        G140     363.424      1.6151     2195.15     55.6383           0
        G141     371.576     1.25912      2739.7     83.7584           0
        G142     292.038     1.16787     3270.79     92.6927           0
        G143     272.744     1.52406     3031.08     82.0333           0
        G144     473.572     1.16779     2051.41     51.7479           0
        G145     461.244     3.57237     2827.19     79.8172           0
